Cable;Breaking Strength;;;
1;4919,00;;;
2;5048,09;;;
3;5482,85;;;
4;5461,08;;;
5;4583,24;;;
6;4926,37;;;
7;5460,99;;;
8;5214,26;;;
9;5286,32;;;
10;4767,98;;;
11;3931,76;;;
12;5191,09;;;
13;5453,64;;;
14;4543,81;;;
15;6060,19;;;
16;6356,22;;;
17;5306,83;;;
18;4515,58;;;
19;4713,03;;;
20;4827,88;;;
21;5873,37;;;
22;4474,94;;;
23;4659,81;;;
24;5255,17;;;
25;5216,45;;;
26;5929,35;;;
27;5258,75;;;
28;4797,17;;;
29;5060,31;;;
30;4434,27;;;
31;5359,47;;;
32;5684,72;;;
33;4959,64;;;
34;4492,24;;;
35;4407,15;;;
36;4936,43;;;
37;5928,43;;;
38;5796,95;;;
39;5470,01;;;
40;5347,04;;;
41;5245,09;;;
42;4723,65;;;
43;5077,84;;;
44;5785,64;;;
45;4390,91;;;
46;5402,91;;;
47;5101,36;;;
48;5471,37;;;
49;5823,75;;;
50;6123,87;;;
51;5168,42;;;
52;4829,37;;;
53;4870,35;;;
54;4884,67;;;
55;4822,61;;;
56;5019,64;;;
57;5560,57;;;
58;5815,23;;;
59;4922,61;;;
60;4393,84;;;
61;5500,39;;;
62;4957,40;;;
63;5258,44;;;
64;5591,10;;;
